Tipo de ativo;Ativo;Quant.;Preço Médio;Preço Atual;Variação;Rentabilidade;Vacância;Saldo;P/VP;DY;Nota;% Carteira;% Ideal;Comprar ?
FIIs;VGIR11;188;R$ 9,59;R$ 9,44;-1,62%;12,15%;0,00%;R$ 1.772,84;0,96;16,14%;13;1,71%;1,20%;Não
FIIs;BTLG11;16;R$ 102,35;R$ 100,38;-1,84%;3,76%;2,10%;R$ 1.607,52;0,94;9,53%;14;1,55%;1,29%;Não
FIIs;GARE11;184;R$ 9,04;R$ 8,16;-9,52%;-0,83%;0,00%;R$ 1.505,12;0,89;12,19%;14;1,46%;1,29%;Não
FIIs;KNRI11;9;R$ 152,11;R$ 156,85;3,11%;8,18%;3,90%;R$ 1.411,65;0,96;8,24%;14;1,36%;1,29%;Não
FIIs;KNCR11;13;R$ 104,72;R$ 106,81;2,25%;12,04%;0,00%;R$ 1.391,91;1,05;13,42%;13;1,35%;1,20%;Não
FIIs;VISC11;13;R$ 108,80;R$ 105,50;-3,07%;0,48%;5,70%;R$ 1.370,98;0,91;9,39%;14;1,33%;1,29%;Não
FIIs;HGLG11;9;R$ 157,21;R$ 147,03;-6,55%;-1,75%;3,10%;R$ 1.322,19;0,88;8,98%;14;1,28%;1,29%;Sim
FIIs;XPLG11;14;R$ 101,33;R$ 92,05;-9,16%;1,31%;8,10%;R$ 1.288,56;0,87;10,72%;14;1,24%;1,29%;Sim
FIIs;VGHF11;187;R$ 7,04;R$ 5,83;-17,08%;-12,05%;0,00%;R$ 1.092,08;0,71;15,24%;13;1,06%;1,20%;Sim
FIIs;KNSC11;75;R$ 8,66;R$ 9,05;4,71%;15,15%;0,00%;R$ 680,25;1,04;12,58%;13;0,66%;1,20%;Sim
FIIs;XPML11;5;R$ 110,09;R$ 104,41;-5,09%;1,29%;4,10%;R$ 522,45;0,95;10,57%;14;0,51%;1,29%;Sim
FIIs;VGIA11;9;R$ 9,73;R$ 8,29;-15,14%;-3,88%;0,00%;R$ 74,34;0,86;19,76%;13;0,07%;1,20%;Sim
Ações;SBSP3;130;R$ 25,99;R$ 27,87;8,02%;16,47%;;R$ 3.650,40;2,26;2,46%;20;3,56%;3,08%;Não
Ações;BBAS3;70;R$ 22,06;R$ 20,67;-7,11%;0,45%;;R$ 1.434,30;0,61;2,62%;20;1,41%;3,08%;Sim
Ações;ITSA3;100;R$ 13,02;R$ 13,68;5,18%;19,98%;;R$ 1.369,00;1,70;9,60%;20;1,34%;3,08%;Sim
Ações;ITUB4;31;R$ 38,27;R$ 42,36;10,59%;27,99%;;R$ 1.311,92;2,23;8,23%;20;1,29%;3,08%;Sim
Ações;KLBN11;52;R$ 17,49;R$ 18,08;3,40%;7,27%;;R$ 940,16;2,49;7,89%;10;0,91%;1,54%;Sim
Ações;EQTL3;12;R$ 38,32;R$ 38,31;0,74%;1,34%;;R$ 463,20;1,89;4,08%;10;0,45%;1,54%;Sim
